adresses;balances
"""0xcf96de8a4fb0005c98376c414cdbdd4a148cd0df""";"""99737547517045447292327037853"""
"""0xa940dbfb2fb57c3d39898a937b3db48d732bb92d""";"""98564984448000000000000000000"""
"""0xccfe7a0ca8207279cdc5b2f60f65ab5ff648f3da""";"""95905965635275571669116848471"""
"""0x85ddc9a1d667ec539448f8a8a4123ccbdbd9f223""";"""89411988529193687781728381944"""
"""0x6ba7ec76ff2b5b5c312b85e9fb62ef46db240567""";"""88864895852400218299701251462"""
"""0x35de3b7f13a46689d9e0268d4737e22ebec26cc0""";"""88864895852400218222531555981"""
"""0x7cafac7028d5f3de3418d31a70be0b98b8ed5a1b""";"""86738738670449754152225481502"""
"""0xd4d85595f9c5792a5b3f03c8c7699f34f45b7b5f""";"""84487603522473580367862569966"""
"""0x33d6bb3056c9393dbebc22e9122e791a8784024f""";"""81998087392470054510197147305"""
"""0xb2b924a02a58ec6146b435b1870c56905b923298""";"""80930562494310016398641239661"""
"""0x77f955e2af9dabd5981ed70fdb52dad9f0277d91""";"""80217010681635225374906311390"""
"""0xeb2b6b0ccd926559be2a21ba7ce2b6754c46612e""";"""78811321038267000855704447741"""
"""0x2743380a71d458ed604ab480a16e3a1557dd9777""";"""78532688398316283644984317654"""
"""0x83837d12eb15933aa3f4b959f9edaf078f397ea5""";"""75717522810507517809738163457"""
"""0x783efe9c9cda6398ca1443ac1ff57d74fed46a45""";"""73889478964573330131296410078"""
"""0x8ac74078c9687c1ff238e64ace67544ae00e5e4d""";"""72736191121897022238506833670"""
"""0x32ab2654c3cd9a510d0a2d583b61ae14722cabfb""";"""72136857814660610720230229340"""
"""0x1b50075d391048fbb09668d3237f19c8305111b7""";"""71458229265367828846311727316"""
"""0x7e31024b21d4fac0ca6240ca06f5af973b2ec491""";"""70864454179327026660869983371"""
"""0x9f84a95aaa453e622a4aa06cbe8e4edbc5e9af64""";"""69838724498409223697691167687"""
"""0xfabb1b96f69a1df5bb241fb57335b110d632cd18""";"""68136536849854000000000000000"""
"""0xfa371a75c13945f38cb55ff54f07256182ec9019""";"""67876508054368671899174871829"""
"""0x2464b553b419530bbc4b6b18bba75553eff051b3""";"""67519866768376009210645081916"""
"""0x0e10b51faf4098ccd4257dbaf82b1c7ec1710e8b""";"""67023574508486980669681585835"""
"""0x848f902f39e29778108f570ff74a83cf708eed71""";"""66774604098660705115565209696"""
"""0x4608ba879c4b19bcb0aec3c2e5719989f6e75740""";"""65718382560122702524352569081"""
"""0xe89868ebdbd53d04ae57ed8f576a9c6a72f1791f""";"""63676821171863399733938045224"""
"""0x3b43956505196542757834c68d672e688f6ba48c""";"""61929188369275986002553523860"""
"""0x8bc0f2ec868a5722f3315606614f57addf997083""";"""59879508028113929318717124765"""
"""0x6ff7d2c162fc8c6c7286a4c73f93393cb7529d5e""";"""58181221901710433318422286000"""
"""0xf2d16707a5f70414eccee91093980d5dc8216138""";"""56413995259017225343730266697"""
"""0x75dc077d92aef1ef5458266431c262bedf4757a1""";"""56230894013738960901783584613"""
"""0x64d81dec65feb82ebbf2fcff02ceef2e6ab1fa9a""";"""56087111061494109575553309838"""
"""0x80556d5647ce7772224558d0de7b5e8c795d6f7b""";"""55634451711682616806650773355"""
"""0x6bd58fccf92631d168a4635814ef6a1d8b9aaba7""";"""54333451354765044216461354783"""
"""0xcb463b4c88b8a7ad8be00039f998057d209a838c""";"""54069611031162743765987374187"""
"""0x1aa2d90064de3c421a9b45695e2fe1ac76fad889""";"""53182994315171285751852929624"""
"""0x424ed4db047ff5848671f38b1eaf0794db34fe61""";"""52086086514229027605907557668"""
"""0x77cfb359d73e8aed48e99201d894e03f2af48ac5""";"""51188369282434327599545787918"""
"""0xd037cb3de0deefb59f944b3567f57d6f4b48974c""";"""51020569249492467532843380604"""
"""0xe0ce668fcf04be32ba5022fd725756461a8a24e0""";"""47353964633976642626530939909"""
"""0x75a64de4e172f058c07a68d8847445e1fcf8508e""";"""45267998796038003067144805536"""
"""0xe55d6729f70edb25a4c3937f95f6949d5ae01f18""";"""45111150511262980883886364898"""
"""0x3d8df90979254eefabae158a25da9ea36282cb9a""";"""43262092415953704473210454173"""
"""0xf07c330ac68b94b7cb1b8d559550ea077fd0fbbe""";"""43081000576032733717293759902"""
"""0xafdd6b8b4c7f824fb953862b9533a962e3354505""";"""43035721487225168400882379831"""
"""0xb39f4e8ce9c307134992a91b97a43d56089cd0f4""";"""41836417768181568548310599861"""
"""0x3375b336783fc369310c6dc07be7d0e349e43b65""";"""41657949220338292964374628538"""
"""0x2ff2389ca5337cf98b2b0856025d7fae855873d4""";"""40697246813296867243333675305"""
"""0xb69aaa73aa853768f4f6613be5b9024f6b845ba8""";"""40677243249795530865059401928"""
"""0x3958024cce87c5d83a1d3704f8806ae7dc9c74cf""";"""40137092266322258421207458930"""
"""0xb634d8fddc8fcd606f9fb78b077195841ff2756d""";"""39320213188934525124857074286"""
"""0x4f82e73edb06d29ff62c91ec8f5ff06571bdeb29""";"""39110018048851954426424583305"""
