adresses;balances
"""0x2ff2389ca5337cf98b2b0856025d7fae855873d4""";"""9265437545442590159870"""
"""0x4df6d61a1e5be3c36c892ee89391242c9cbb1ee4""";"""9158288951650932612032"""
"""0x77cfb359d73e8aed48e99201d894e03f2af48ac5""";"""8735216495051066917630"""
"""0x12197003cb5ccbcfc73db24370b37b010650d125""";"""7989919927742397764289"""
"""0x9afa3336a319b8972052728640f4f5bbd00506ac""";"""7908527508008548348653"""
"""0x607c81195749d2ebd79ffea022a9c7214f08e7ed""";"""7890827465697628513119"""
"""0xfd1ba932155fa47ca0ff8dfd5decd92047c77c7f""";"""6319734635916469388280"""
"""0x57d24b3abb86a45c6f572195b92687ba5a8b1cb3""";"""6305598387546230642724"""
"""0x64d81dec65feb82ebbf2fcff02ceef2e6ab1fa9a""";"""6145583300150144948429"""
"""0x80556d5647ce7772224558d0de7b5e8c795d6f7b""";"""5654732453061180625808"""
"""0x3ee7360a911f9fc01dd4ab7898990f7f63163f69""";"""4282147863884419644299"""
"""0x88cb427f4e5fe4315d15687ffa74a91d9619441e""";"""3998711344122181657564"""
"""0x7976831bfe43deabd67bb8d060ea29c51dabab33""";"""3970316439965392938263"""
"""0x00c3348551f34450a7de1067d18f5e3da6565314""";"""3967840106904481807114"""
"""0x28c5a733f7f6e6753f6d3f11f79d72e3ccfe8260""";"""3965366091057060796239"""
"""0x07291bdbe5dd2f5c58355d84153d3adaf150215d""";"""3962894389532217927548"""
"""0x566220e7eea98bd9c9fb71412a39abb9f71ac9d1""";"""3960424999443548802034"""
"""0x7c18192491182395db00dad7f026f0c0a55ea3d0""";"""3957957917909148167575"""
"""0xe15f5a097eca5e71db406aadb3e0e8bf641ebc72""";"""3937814556619634486956"""
"""0xcbbbd46c9790b81c75a15c98d952d583eb260f06""";"""2142114441319440309459"""
"""0x5c73ad68bc12c96491f902c1545030d32f4cd70e""";"""2133116971125310695754"""
"""0x60c436681e9e39b348ae486bb977d348a11f1e47""";"""2132427208952620374031"""
"""0xe89868ebdbd53d04ae57ed8f576a9c6a72f1791f""";"""2131737781454287184926"""
"""0x9fbf352ebbf627948d68ba0b45b8a5db4182f0c3""";"""1986087104283238453870"""
"""0x79c71d09fd01f7ec81b7a61ad2d36e61d4225be6""";"""1000842070117065012365"""
"""0x2fbe86948b5ed9a784fb80dde48285db141f023b""";"""1000000000000000000000"""
"""0x4deb73724529f73e2a224123afd34d7a0350992f""";"""968592252090618192"""
"""0xb474aa06e2e19aae5b75d3659340d391598a699e""";"""889296302699381095"""
"""0xddf9c27105909d35331c5df4f39af15dfa2aee61""";"""755766203543614704"""
"""0xb14562750955b75245716d3d729c128fa199221f""";"""728249215609980190"""
"""0x4e88a7ef592a49b3e9b7546cde0e8ed320d3e8a9""";"""138696646384561321"""
"""0x6b75d8af000000e20b7a7ddf000ba900b4009a80""";"""72057594037927936"""
"""0x6781514aa71f0bd9b6089baeaeee5e6d20538979""";"""50716342735959320"""
"""0x53facee52e897740b140f5304e9cd9dc6238d735""";"""1"""
"""0xe8c060f8052e07423f71d445277c61ac5138a2e5""";"""1"""
